"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"471",="2354","鴻準","66.7","-0.4","-0.6","2021","0.52","-2.62","18.8","-7.71","2","-1.91","35.9","-0.42","42.8","+12.7","0","0"
"472",="2755","揚秦","56","0","0","2021","0","0","0.68","+0.67","2","-1.15","49.1","-0.48","48.2","+0.96","0","0"
"473",="4561","健椿","29","+0.25","+0.87","2021","0","0","0.26","+0.25","1.99","-5.22","31.4","-1.07","66.4","+6.04","0","0"
"474",="6285","啟碁","75.8","-0.3","-0.39","2021","4.91","+1.69","9.36","-7.34","1.98","-0.76","41.2","+6.98","42.5","-0.59","0.02","+0.02"
"475",="3303","岱稜","26.45","-0.15","-0.56","2021","0","0","2","-0.44","1.98","-1.66","12.5","-0.64","80.3","+2.59","3.18","+0.15"
"476",="6767","台微醫","30.05","-0.05","-0.17","2021","0","","0.06","","1.96","","42.7","","55.3","","0",""
"477",="5704","老爺知","30.1","+0.1","+0.33","2021","0","0","0.05","+0.05","1.94","-1","28.5","+0.12","69.6","+0.83","0","0"
"478",="5222","全訊","216.5","0","0","2021","0","0","3.19","-0.5","1.94","-0.71","8.87","-1.65","86","+2.86","0","0"
"479",="3046","建碁","30.4","+2.75","+9.95","2021","0","0","1.68","+0.24","1.93","-0.02","52.5","-1.66","43.9","+1.44","0","0"
"480",="6612","奈米醫材","61.5","0","0","2021","0","0","27.5","-0.71","1.92","-0.51","16.1","+0.65","54.5","+0.57","0","0"
"481",="6643","M31","454","+1.5","+0.33","2021","0","0","11","+2.49","1.92","+0.32","5.64","-0.43","80.8","-2.83","0.67","+0.46"
"482",="6230","尼得科超眾","167","-1","-0.6","2021","0","-1.68","84.8","+19.2","1.92","-3.48","0.45","-7.91","12.8","-6.17","0","0"
"483",="8222","寶一","15.15","-0.05","-0.33","2021","0","0","0.74","+0.29","1.92","-3.04","23.7","-5.68","73.6","+8.43","0","0"
"484",="2392","正崴","39.1","-0.1","-0.26","2021","0.22","-0.27","14.7","+0.6","1.91","-1.47","33.2","+0.14","50","+0.99","0","0"
"485",="8473","山林水","33.95","0","0","2021","0","0","0.88","-0.04","1.91","-0.75","76.7","+0.21","20.5","+0.59","0","0"
"486",="4915","致伸","55.5","-1.8","-3.14","2021","3.44","+1.84","59.8","+2.77","1.91","-1.8","4.39","+2.88","30.5","-5.69","0","-0.01"
"487",="9931","欣高","39.85","-0.1","-0.25","2021","21.3","0","0.71","+0.32","1.9","0","45","+0.51","31.2","-0.83","0","0"
"488",="5236","凌陽創新","179","-5","-2.72","2021","0","","2.87","","1.9","","58.7","","36.6","","0",""
"489",="5299","杰力","195","-2","-1.02","2021","0","0","3.06","-0.31","1.85","-1.54","27.5","0","67.6","+1.84","0","0"
